지역,연도,발생량,재활용품,음식물,소각,매립,1인당 배출량,주민수
계,2012,9189.3,2692.9,3311.7,2465.4,719.4,25.02,10442426
종로구,2012,386.6,159.9,0,102.8,14.9,2.23,173148
중구,2012,553.4,182.6,147.9,208.6,14.3,3.93,140807
용산구,2012,227.9,39.8,82.7,97,8.4,0.89,255294
성동구,2012,267.6,86.6,86.5,67.7,26.8,0.87,306868
광진구,2012,368.5,163.7,112.9,68.6,23.3,0.96,384269
동대문구,2012,400,182.6,100.2,100.9,16.3,1.06,375683
중랑구,2012,222.5,27.1,97.4,90.8,7.2,0.53,423655
성북구,2012,300.6,67.2,105.5,107.2,20.8,0.61,490639
강북구,2012,242.5,74.7,89.7,76.1,2,0.7,346493
도봉구,2012,400.4,231.9,95,64.2,9.3,1.1,364454
노원구,2012,307.9,21.6,165.7,120.1,0.5,0.51,600829
은평구,2012,261.1,62.9,73.1,43.7,81.4,0.52,505902
서대문구,2012,263.6,76.3,88.5,87.1,11.7,0.81,324733
마포구,2012,279.6,32.9,122.4,111.7,12.6,0.71,393576
양천구,2012,274.5,38.1,135.1,96.5,4.8,0.55,500533
강서구,2012,399.1,86.5,199.6,96.8,16.2,0.7,573794
구로구,2012,285.7,38.8,113.6,128.8,4.5,0.63,454478
금천구,2012,223.5,61.8,75.4,14.2,72.1,0.86,260734
영등포구,2012,403.2,47.3,199.2,126.2,30.5,0.94,426876
동작구,2012,337.7,125.9,114.9,81.2,15.7,0.81,416268
관악구,2012,317.6,65.9,121.6,21,109.1,0.59,540520
서초구,2012,578.1,208.6,191.6,127.1,50.8,1.31,439998
강남구,2012,984.9,339.8,340,234.7,70.4,1.73,569997
송파구,2012,644.2,244.2,223.3,140.5,36.2,0.95,680150
강동구,2012,258.6,26.2,120.9,51.9,59.6,0.52,492728
계,2013,8559,2409,3072.4,2303.5,774.1,23.5,10388055
종로구,2013,354.7,106.9,115.6,98.8,33.4,2.11,167867
중구,2013,507.9,196.5,131.4,166.7,13.3,3.68,137990
용산구,2013,193.2,19.3,78,87.6,8.3,0.77,251925
성동구,2013,261.8,86.8,86.7,72.5,15.8,0.85,306571
광진구,2013,379.3,186.9,98.9,66.3,27.2,0.99,381439
동대문구,2013,396.8,180.8,98.6,103.4,14,1.05,376445
중랑구,2013,227.4,24.5,102.6,86.4,13.9,0.54,421237
성북구,2013,274.9,52.6,105,102.4,14.9,0.57,485347
강북구,2013,232.6,68.4,87.7,69.9,6.6,0.68,341921
도봉구,2013,386.2,226.8,91.7,58.6,9.1,1.07,360609
노원구,2013,302.4,19.8,163.3,115.3,4,0.51,594027
은평구,2013,294.9,69.2,84.7,41.9,99.1,0.58,508111
서대문구,2013,262.4,71.1,88.7,93.6,9,0.81,324067
마포구,2013,287,37.3,123,113,13.7,0.73,391098
양천구,2013,276.1,41,138.1,89.5,7.5,0.56,496934
강서구,2013,370.2,81.6,161.1,103.6,23.9,0.64,575236
구로구,2013,278.5,31,108.7,122.3,16.5,0.62,452168
금천구,2013,180.2,31.2,67.8,8.1,73.1,0.7,258254
영등포구,2013,305.8,22.9,140.8,112.2,29.9,0.73,421577
동작구,2013,327.5,120.6,106.3,87.2,13.4,0.78,421487
관악구,2013,315.5,64.5,115.4,26.8,108.8,0.59,535128
서초구,2013,552.3,197.4,193.1,132.3,29.5,1.24,446541
강남구,2013,745.2,222.7,276.8,160.4,85.3,1.31,569152
송파구,2013,599.8,238.9,186.8,131.8,42.3,0.89,674955
강동구,2013,246.4,10.3,121.6,52.9,61.6,0.5,487969
계,2014,9613.8,3242.9,3181,2263.3,926.6,26.2,10369593
종로구,2014,365.4,107.9,119.5,103.9,34.1,2.21,165344
중구,2014,504.5,187.1,130,168,19.4,3.7,136227
용산구,2014,273,100.2,77.1,86.9,8.8,1.09,249914
성동구,2014,254.1,85.7,79.7,67.8,20.9,0.84,303891
광진구,2014,348.9,150.1,104.5,60.2,34.1,0.92,377375
동대문구,2014,414.7,189.7,105.1,96.7,23.2,1.1,376319
중랑구,2014,369.4,159.6,102.4,83.8,23.6,0.87,423411
